address,price,link,bedrooms,bathrooms
"20 Brooklawn Ave, Toronto, ON M1M 2P4",$1.06M,https://www.zillow.com/homedetails/20-Brooklawn-Ave-Toronto-ON-M1M-2P4/2062647050_zpid/,2,2
"125 Village Green Sq #1806, Toronto, ON M1S 0G3","C$540,000",https://www.zillow.com/homedetails/125-Village-Green-Sq-1806-Toronto-ON-M1S-0G3/2062861015_zpid/,1,1
"3 Mossbrook Cres, Toronto, ON M1W 2W8",$1.25M,https://www.zillow.com/homedetails/3-Mossbrook-Cres-Toronto-ON-M1W-2W8/2062115147_zpid/,2,1
"55 Seamist Cres, Toronto, ON M1V 3K3","C$855,000",https://www.zillow.com/homedetails/55-Seamist-Cres-Toronto-ON-M1V-3K3/2062258005_zpid/,3,2
"52 Elm Grove Ave, Toronto, ON M6K 2J3",$1.50M,https://www.zillow.com/homedetails/52-Elm-Grove-Ave-Toronto-ON-M6K-2J3/2062153026_zpid/,--,--
"9 Gunton Dr, Toronto, ON M9W 3G9",$1.14M,https://www.zillow.com/homedetails/9-Gunton-Dr-Toronto-ON-M9W-3G9/2062241891_zpid/,--,--
"174 Windermere Ave, Toronto, ON M6S 3J7",$1.44M,https://www.zillow.com/homedetails/174-Windermere-Ave-Toronto-ON-M6S-3J7/2062255493_zpid/,4,4
"43 Culnan Ave, Toronto, ON M8Z 5B1","C$999,000",https://www.zillow.com/homedetails/43-Culnan-Ave-Toronto-ON-M8Z-5B1/2062584766_zpid/,--,--
"30 Western Battery Rd #329, Toronto, ON M6K 3N9","C$760,000",https://www.zillow.com/homedetails/30-Western-Battery-Rd-329-Toronto-ON-M6K-3N9/2063444291_zpid/,--,--
"115 Neames Cres, Toronto, ON M3L 1K8","C$875,000",https://www.zillow.com/homedetails/115-Neames-Cres-Toronto-ON-M3L-1K8/2062481190_zpid/,--,--
"80 Castlebury Cres #3, Toronto, ON M2H 1W8",$--,https://www.zillow.com/homedetails/80-Castlebury-Cres-3-Toronto-ON-M2H-1W8/2065457975_zpid/,--,--
"691 Eglinton Ave E, Toronto, ON M4G 2K6",$1.31M,https://www.zillow.com/homedetails/691-Eglinton-Ave-E-Toronto-ON-M4G-2K6/2062172371_zpid/,3,3
"310 Patricia Ave, Toronto, ON M2R 2M5",$1.36M,https://www.zillow.com/homedetails/310-Patricia-Ave-Toronto-ON-M2R-2M5/2062241912_zpid/,3,2
"65 George Appleton Way #2087, Toronto, ON M3M 0A2","C$525,000",https://www.zillow.com/homedetails/65-George-Appleton-Way-2087-Toronto-ON-M3M-0A2/2063304548_zpid/,--,--
"7 Salisbury Ave, Toronto, ON M4X 1C3",$1.50M,https://www.zillow.com/homedetails/7-Salisbury-Ave-Toronto-ON-M4X-1C3/2063509468_zpid/,3,3
"552 McLevin Ave, Toronto, ON M1B 4H4",$1.02M,https://www.zillow.com/homedetails/552-McLevin-Ave-Toronto-ON-M1B-4H4/2062376988_zpid/,--,--
"2550 Pharmacy Ave #1610, Toronto, ON M1W 1H9","C$555,000",https://www.zillow.com/homedetails/2550-Pharmacy-Ave-1610-Toronto-ON-M1W-1H9/2078203557_zpid/,2,1
"360 Rhodes Ave, Toronto, ON M4L 3A3",$1.83M,https://www.zillow.com/homedetails/360-Rhodes-Ave-Toronto-ON-M4L-3A3/2063172568_zpid/,3,3
"21 Greenock Ave, Toronto, ON M1G 2Z7",$1.27M,https://www.zillow.com/homedetails/21-Greenock-Ave-Toronto-ON-M1G-2Z7/2065458038_zpid/,--,--
"103 The Queensway #815, Toronto, ON M6S 5B3","C$667,000",https://www.zillow.com/homedetails/103-The-Queensway-815-Toronto-ON-M6S-5B3/2063508857_zpid/,2,1
"33 Empress Ave #1511, Toronto, ON M2N 6Y7",$1.07M,https://www.zillow.com/homedetails/33-Empress-Ave-1511-Toronto-ON-M2N-6Y7/2065551164_zpid/,2,2
"223 Saint Clair Ave W, Toronto, ON M4V 1R4","C$645,000",https://www.zillow.com/homedetails/223-Saint-Clair-Ave-W-Toronto-ON-M4V-1R4/2080848207_zpid/,2,2
"21 Shaftesbury Ave #301, Toronto, ON M4T 3B4",$1.45M,https://www.zillow.com/homedetails/21-Shaftesbury-Ave-301-Toronto-ON-M4T-3B4/2063243533_zpid/,--,--
