address,price,link,bedrooms,bathrooms,cleaned_address,Latitude,Longitude
"169 Fort York Blvd #518, Toronto, ON M5V 0C8","C$500,000",https://www.zillow.com/homedetails/169-Fort-York-Blvd-518-Toronto-ON-M5V-0C8/2072237245_zpid/,1,1,"169 Fort York Blvd , ON",43.6382802,-79.4011498
"170 Bayview Ave #703, Toronto, ON M5A 0M4","C$478,500",https://www.zillow.com/homedetails/170-Bayview-Ave-703-Toronto-ON-M5A-0M4/2060617384_zpid/,--,--,"170 Bayview Ave , ON",43.655417,-79.35399912
"5580 Sheppard Ave E #906, Toronto, ON M1B 2L3","C$490,000",https://www.zillow.com/homedetails/5580-Sheppard-Ave-E-906-Toronto-ON-M1B-2L3/2061171534_zpid/,--,--,"5580 Sheppard Ave E. , ON",43.79461855,-79.23729384
"20 Minowan Miikan Ln, Toronto, ON M6J 0E5",$--,https://www.zillow.com/homedetails/20-Minowan-Miikan-Ln-Toronto-ON-M6J-0E5/2079631255_zpid/,1,1,"20 Minowan Miikan Ln, ON",43.6431587,-79.42825109
"65 Allangrove Cres, Toronto, ON M1W 1S4",$1.38M,https://www.zillow.com/homedetails/65-Allangrove-Cres-Toronto-ON-M1W-1S4/2061345484_zpid/,--,--,"65 Allangrove Cres, ON",43.79043407,-79.31445632
"223 Downsview Park Blvd, Toronto, ON M3K 0A5",$1.17M,https://www.zillow.com/homedetails/223-Downsview-Park-Blvd-Toronto-ON-M3K-0A5/2061308242_zpid/,--,--,"223 Downsview Park Blvd, ON",43.73625913,-79.47906381
"181 Wineva Ave, Toronto, ON M4E 2T5",$1.85M,https://www.zillow.com/homedetails/181-Wineva-Ave-Toronto-ON-M4E-2T5/2061324716_zpid/,--,--,"181 Wineva Ave, ON",43.67259202,-79.29622667
"20 Lytton Blvd, Toronto, ON M4R 1L1",$3.64M,https://www.zillow.com/homedetails/20-Lytton-Blvd-Toronto-ON-M4R-1L1/2061324723_zpid/,6,3,"20 Lytton Blvd, ON",43.71625272,-79.40176261
"147 Westminster Ave, Toronto, ON M6R 1N8",$2.26M,https://www.zillow.com/homedetails/147-Westminster-Ave-Toronto-ON-M6R-1N8/2061308239_zpid/,4,2,"147 Westminster Ave, ON",43.64653285,-79.45192878
"66 Roxborough St E #101, Toronto, ON M4W 1V7",$1.64M,https://www.zillow.com/homedetails/66-Roxborough-St-E-101-Toronto-ON-M4W-1V7/2067831476_zpid/,1,1,"66 Roxborough St E. , ON",43.67881732,-79.38534483
"701 Shaw St, Toronto, ON M6G 3L8",$2.40M,https://www.zillow.com/homedetails/701-Shaw-St-Toronto-ON-M6G-3L8/2070738855_zpid/,5,5,"701 Shaw St, ON",43.66112792,-79.42255524
"24 Forman Ave, Toronto, ON M4S 2R2",$1.65M,https://www.zillow.com/homedetails/24-Forman-Ave-Toronto-ON-M4S-2R2/2061308251_zpid/,--,--,"24 Forman Ave, ON",43.7014497,-79.3806274
"29 Temple Bar Cres, Toronto, ON M1W 2B4",$1.40M,https://www.zillow.com/homedetails/29-Temple-Bar-Cres-Toronto-ON-M1W-2B4/2061561554_zpid/,4,4,"29 Temple Bar Cres, ON",43.79151161,-79.30367739
"33 Sandyhook Sq, Toronto, ON M1W 3N6",$1.01M,https://www.zillow.com/homedetails/33-Sandyhook-Sq-Toronto-ON-M1W-3N6/2061324717_zpid/,4,4,"33 Sandyhook Sq, ON",43.81807762,-79.31992188
"104 Strathallan Blvd, Toronto, ON M5N 1S7",$3.70M,https://www.zillow.com/homedetails/104-Strathallan-Blvd-Toronto-ON-M5N-1S7/2061481775_zpid/,--,--,"104 Strathallan Blvd, ON",43.71428396,-79.41543788
"23 Pintail Cres, Toronto, ON M3A 2Y6","C$910,000",https://www.zillow.com/homedetails/23-Pintail-Cres-Toronto-ON-M3A-2Y6/2061253795_zpid/,--,--,"23 Pintail Cres, ON",43.76122916,-79.31872373
"33 Welland Ave, Toronto, ON M4T 2H8",$4.05M,https://www.zillow.com/homedetails/33-Welland-Ave-Toronto-ON-M4T-2H8/2061481774_zpid/,--,--,"33 Welland Ave, ON",43.6894515,-79.3787901
"59 Linnsmore Cres, Toronto, ON M4J 4J9",$1.70M,https://www.zillow.com/homedetails/59-Linnsmore-Cres-Toronto-ON-M4J-4J9/2062594275_zpid/,3,2,"59 Linnsmore Cres, ON",43.68431008,-79.33048553
"68 Alamosa Dr, Toronto, ON M2J 2N9",$1.70M,https://www.zillow.com/homedetails/68-Alamosa-Dr-Toronto-ON-M2J-2N9/2061248701_zpid/,--,--,"68 Alamosa Dr, ON",43.78386237,-79.37478662
"55 De Boers Dr #511, Toronto, ON M3J 0G5",$--,https://www.zillow.com/homedetails/55-De-Boers-Dr-511-Toronto-ON-M3J-0G5/2062492601_zpid/,--,--,"55 De Boers Dr , ON",43.75102385,-79.46579405
"16 Dalbeattie Ave, Toronto, ON M9N 2Y5",$1.17M,https://www.zillow.com/homedetails/16-Dalbeattie-Ave-Toronto-ON-M9N-2Y5/2061303268_zpid/,--,--,"16 Dalbeattie Ave, ON",43.70950115,-79.5129535
"16 Sheffley Cres, Toronto, ON M9R 2W4",$2.00M,https://www.zillow.com/homedetails/16-Sheffley-Cres-Toronto-ON-M9R-2W4/2061456753_zpid/,--,--,"16 Sheffley Cres, ON",43.68443787,-79.5501062
"87 Greenwood Ave, Toronto, ON M4L 2P7",$1.41M,https://www.zillow.com/homedetails/87-Greenwood-Ave-Toronto-ON-M4L-2P7/2062334739_zpid/,3,3,"87 Greenwood Ave, ON",43.6669483,-79.32616865
"1016 Pharmacy Ave, Toronto, ON M1R 2G9","C$943,000",https://www.zillow.com/homedetails/1016-Pharmacy-Ave-Toronto-ON-M1R-2G9/2061229944_zpid/,--,--,"1016 Pharmacy Ave, ON",43.73814837,-79.30275753
"1101 Steeles Ave W #101, Toronto, ON M2R 3W5","C$626,000",https://www.zillow.com/homedetails/1101-Steeles-Ave-W-101-Toronto-ON-M2R-3W5/2071811638_zpid/,1,1,"1101 Steeles Ave W. , ON",43.79046785,-79.44815929
"15 Mystic Ave, Toronto, ON M1L 4G6",$1.04M,https://www.zillow.com/homedetails/15-Mystic-Ave-Toronto-ON-M1L-4G6/2066521659_zpid/,2,1,"15 Mystic Ave, ON",43.696559,-79.27082483
"2002 Brimley Rd, Toronto, ON M1S 2B2",$1.72M,https://www.zillow.com/homedetails/2002-Brimley-Rd-Toronto-ON-M1S-2B2/2071883793_zpid/,--,--,"2002 Brimley Rd, ON",43.78734172,-79.26834525
"191 Rankin Cres, Toronto, ON M6P 4H8",$1.37M,https://www.zillow.com/homedetails/191-Rankin-Cres-Toronto-ON-M6P-4H8/2061288857_zpid/,--,--,"191 Rankin Cres, ON",43.66084507,-79.44700154
"22 Minho Blvd, Toronto, ON M6G 4B5",$1.62M,https://www.zillow.com/homedetails/22-Minho-Blvd-Toronto-ON-M6G-4B5/2061333828_zpid/,--,--,"22 Minho Blvd, ON",43.67280527,-79.42853973
"38B Summerhill Gdns, Toronto, ON M4T 1B4",$1.61M,https://www.zillow.com/homedetails/38B-Summerhill-Gdns-Toronto-ON-M4T-1B4/2063050018_zpid/,--,--,"38B Summerhill Gdns, ON",43.68491548,-79.3869774
"831A Millwood Rd, Toronto, ON M4G 1W5",$1.53M,https://www.zillow.com/homedetails/831A-Millwood-Rd-Toronto-ON-M4G-1W5/2061261289_zpid/,--,--,"831A Millwood Rd, ON",43.70274194,-79.3623988
"17 Edith Ave, Toronto, ON M6P 3T5",$1.37M,https://www.zillow.com/homedetails/17-Edith-Ave-Toronto-ON-M6P-3T5/2061303233_zpid/,--,--,"17 Edith Ave, ON",43.66584941,-79.45514072
"74 Wanita Rd, Toronto, ON M1C 1V4",$1.83M,https://www.zillow.com/homedetails/74-Wanita-Rd-Toronto-ON-M1C-1V4/2061333813_zpid/,--,--,"74 Wanita Rd, ON",43.7799177,-79.151357
"20 Iangrove Ter, Toronto, ON M1W 2H2",$1.15M,https://www.zillow.com/homedetails/20-Iangrove-Ter-Toronto-ON-M1W-2H2/2061573002_zpid/,--,--,"20 Iangrove Ter, ON",43.80085452,-79.33400827
"72 Angus Dr, Toronto, ON M2J 2X1",$1.45M,https://www.zillow.com/homedetails/72-Angus-Dr-Toronto-ON-M2J-2X1/2061602949_zpid/,--,--,"72 Angus Dr, ON",43.7883309,-79.367066
"100 Bethany Leigh Dr, Toronto, ON M1V 2N7",$1.08M,https://www.zillow.com/homedetails/100-Bethany-Leigh-Dr-Toronto-ON-M1V-2N7/2061244468_zpid/,3,3,"100 Bethany Leigh Dr, ON",43.81084327,-79.25904323
"56 Calverley Trl, Toronto, ON M1C 3R5",$1.13M,https://www.zillow.com/homedetails/56-Calverley-Trl-Toronto-ON-M1C-3R5/2061280260_zpid/,--,--,"56 Calverley Trl, ON",43.79124531,-79.17993056
"650 King St W #407, Toronto, ON M5V 0H6","C$715,000",https://www.zillow.com/homedetails/650-King-St-W-407-Toronto-ON-M5V-0H6/2061573053_zpid/,--,--,"650 King St W. , ON",44.22072033,-76.51802656
"2 Hemford Cres, Toronto, ON M3B 2S5",$1.48M,https://www.zillow.com/homedetails/2-Hemford-Cres-Toronto-ON-M3B-2S5/2065418982_zpid/,--,--,"2 Hemford Cres, ON",43.7407903,-79.3516433
"70 Allen Ave, Toronto, ON M4M 1T4",$1.10M,https://www.zillow.com/homedetails/70-Allen-Ave-Toronto-ON-M4M-1T4/2061308269_zpid/,--,--,"70 Allen Ave, ON",43.6637996,-79.34874154
"168 Ridgewood Rd, Toronto, ON M1C 2X2",$1.50M,https://www.zillow.com/homedetails/168-Ridgewood-Rd-Toronto-ON-M1C-2X2/2061345480_zpid/,--,--,"168 Ridgewood Rd, ON",43.78753178,-79.12946113
"84 Stafford St, Toronto, ON M6J 2S1",$1.93M,https://www.zillow.com/homedetails/84-Stafford-St-Toronto-ON-M6J-2S1/2061319346_zpid/,--,--,"84 Stafford St, ON",43.64391953,-79.4115567
"15 La Rose Ave #511, Toronto, ON M9P 1A7","C$695,000",https://www.zillow.com/homedetails/15-La-Rose-Ave-511-Toronto-ON-M9P-1A7/2061805289_zpid/,--,--,"15 La Rose Ave , ON",43.6863075,-79.51416695
"33 Gemshaw Cres, Toronto, ON M1B 1L3",$1.03M,https://www.zillow.com/homedetails/33-Gemshaw-Cres-Toronto-ON-M1B-1L3/2063105403_zpid/,--,--,"33 Gemshaw Cres, ON",43.79984956,-79.21245647
"102 Bellefair Ave, Toronto, ON M4L 3T8",$2.95M,https://www.zillow.com/homedetails/102-Bellefair-Ave-Toronto-ON-M4L-3T8/2062254947_zpid/,--,--,"102 Bellefair Ave, ON",43.67372232,-79.30146208
"15 Allingham Gdns, Toronto, ON M3H 1X7",$1.20M,https://www.zillow.com/homedetails/15-Allingham-Gdns-Toronto-ON-M3H-1X7/2063391946_zpid/,--,--,"15 Allingham Gdns, ON",43.74001483,-79.43632946
